"Agrupamiento","Categoría","Proveedor","Cod. Barras","Producto","Costo","FactorMin","PrecioMin","FactorMay","PrecioMay","Stock","Activo"
"ACCESORIOS","FICHAS","","","FICHA 2 POLOS CON SOPORTE 1236-ORO 1236'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","FICHAS","","","FICHA 2 POLOS SIN SOPORTE 1245-ORO 1245'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 2 VIAS","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 2 VIAS  PORTAFUSIBLE AEREO 1021-ORO 1021'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","6","Si"
"ACCESORIOS","FICHAS","","","FICHA 2 VIAS CHATA 1103-ORO  1103'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","7","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 2 VIAS PORTAFUSIBLE AEREO 1020-ORO 1020'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 2 VIAS PORTAFUSIBLE AEREO MINI 1060-ORO 1060'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 2 VIAS PORTAFUSIBLE AEREO PLANO 1057-ORO 1057'oro","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 2 VIAS RESISTENCIA ELECTRO 1981-ORO 1981'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","5","Si"
"ACCESORIOS","FICHAS","","","FICHA 2 VIAS UNIVERSAL 1401-ORO 1401'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","","","FICHA 3 VIAS CHATA UNIVERSAL 1105-ORO   1105'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 3 VIAS FARO ECONOMICA CABLE 1MM F.P.T.E.'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","24","Si"
